Name,Active substance,Amount of substance,Form,Prescription type
Detimedac 200 mg,Dacarbazinum 200 mg,200 mg,Proszek do sporządzania roztworu do wstrzykiwań lub infuzji,Rp
Acard,Acidum acetylsalicylicum 75 mg,75 mg,Tabletki dojelitowe,OTC
ACC mini,Acetylcysteinum 100 mg,100 mg/sasz.,Proszek do sporządzania roztworu,OTC
ACC mini,Acetylcysteinum 100 mg,100 mg,Tabletki musujące,OTC
ACC optima,Acetylcysteinum 600 mg,600 mg,Tabletki musujące,OTC
Acecor,Acebutololi hydrochloridum 444 mg,400 mg,Tabletki powlekane,Rp
Acenocumarol WZF,Acenocoumarolum 4 mg,4 mg,Tabletki,Rp
Acenol,Paracetamolum 300 mg,300 mg,Tabletki,OTC
Acenol Forte,Paracetamolum,500 mg,Tabletki,OTC
Acerin,Acidum salicylicum 195 mg/g + Acidum (S)-lacticum 98 mg/g,(195 mg + 98 mg)/g,Płyn do stosowania na skórę,OTC
Acesan,Acidum acetylsalicylicum 30 mg,30 mg,Tabletki,OTC
Acesan,Acidum acetylsalicylicum do 1 ml,75 mg,Tabletki,OTC
Acidum folicum Richter,Acidum folicum 5 mg,5 mg,Tabletki,Rp
Acidum folicum Richter,Acidum folicum 15 mg,15 mg,Tabletki,Rp
Aclotin,Ticlopidini hydrochloridum 250 mg,250 mg,Tabletki powlekane,Rp
Acodin 150 Junior,Dexpanthenolum 50 mg/5 ml + Dextromethorphani hydrobromidum 7.5 mg/5 ml,(50 mg + 7.5 mg)/5 ml,Syrop,Rp
Acodin Duo,Dexpanthenolum 50 mg/5 ml + Dextromethorphani hydrobromidum 15 mg/5 ml,(50 mg + 15 mg)/5 ml,Syrop,OTC
Erdomed,Erdosteinum 35 mg/ml,35 mg/ml,Proszek do sporządzania zawiesiny doustnej,Rp
Ascorvita,Acidum ascorbicum 1000 mg,1000 mg,Tabletki musujące,OTC
Afronis,Acidum boricum 3 g + Resorcinolum 2 g + Levomentholum 0.2 g + Thymolum 0.05 g,-,Płyn do stosowania na skórę,OTC
Aescin,Escinum 20 mg,20 mg,Tabletki powlekane,OTC
Aescin,Escinum 20 mg/g + Diethylamini salicylas 50 mg/g + Heparinum natricum 50 j.m./g,(20 mg + 50 mg + 50 j.m.)/g,Żel,OTC
Aesculan,Aesculus hippocastanum 62.5 mg/g + Lidocaini hydrochloridum 5 mg/g,(62.5 mg + 5 mg)/g,Maść doodbytnicza,OTC
Aethylum chloratum Filofarm,Ethylis chloridum 70 g,70 g,Aerozol,Rp
Aflegan,Ambroxoli hydrochloridum 7.5 mg,7.5 mg/ml,Roztwór do wstrzykiwań,Rp
Agapurin,Pentoxifyllinum 100 mg,100 mg,Tabletki drażowane,Rp
Akineton,Biperideni lactas 5 mg,5 mg/ml,Roztwór do wstrzykiwań,Rp
Akineton,Biperideni hydrochloridum 2 mg,2 mg,Tabletki,Rp
Aknemycin,Erythromycinum + Erythromycinum -,20 mg/g,Maść,Rp
Aknemycin,Erythromycinum 0.2 g/10 g,20 mg/g,Płyn do stosowania na skórę,Rp
Akneroxid 10,Benzoylis peroxidum 10 g,100 mg/g,Żel,OTC
Akneroxid 5,Benzoylis peroxidum 5 g,50 mg/g,Żel,OTC
Aksoderm,Retinoli palmitas 40000 j.m.,400 j.m./g,Maść,OTC
Alantan-Plus,Allantoinum 20 mg/g + Dexpanthenolum 50 mg/g,(20 mg + 50 mg)/g,Krem,OTC
Alantan-Plus,Allantoinum 20 mg/g + Dexpanthenolum 50 mg/g,(20 mg + 50 mg)/g,Maść,OTC
Alantavit,Allantoinum 10 mg/g + Cholecalciferolum 500 j.m./g + Vitaminum A 1000 j.m/g,(10 mg + 500 j.m. + 1000 j.m.)/g,Maść,OTC
Alcaine,Proxymetacaini hydrochloridum 5 mg,5 mg/ml,Krople do oczu. roztwór,Rp
Syrop z cebuli Ziołowa Tradycja,Allii cepae extractum 15 g,949 mg/5 ml,Syrop,OTC
Aldactone,Kalii canrenoas 200 mg,20 mg/ml,Roztwór do wstrzykiwań,Rp
Alexan,Cytarabinum 20 mg/1 ml,20 mg/ml,Roztwór do wstrzykiwań,Rp
Alka-Seltzer,Acidum acetylsalicylicum 324 mg,324 mg,Tabletki musujące,OTC
Alkeran,Melphalanum 2 mg,2 mg,Tabletki powlekane,Rp
Allergovit,Pojedyncze alergoidy pyłków roślin dawki do leczenia początkowego: stężenie A - 1000 TU/ml. stężenie B - 10 000 TU/ml; dawka do leczenia podtrzymującego: stężenie B - 10 000 TU/ml,dawki do leczenia początkowego: stężenie A - 1000 TU/ml. stężenie B - 10 000 TU/ml; dawka do leczenia podtrzymującego: stężenie B - 10 000 TU/ml,Zawiesina do wstrzykiwań,Rp
Roztwory do testów punktowych,Wyciągi alergenowe zgodnie z załącznikiem nr 1 + Wyciągi alergenowe zgodnie z załącznikiem nr 2,-,Roztwór do skórnych prób punktowych,Rp
Alliofil,Urticae folium 53.5 mg + Allii sativi bulbus 200 mg,200 mg + 53.5 mg,Tabletki dojelitowe,OTC
Allupol,Allopurinolum 100 mg,100 mg,Tabletki,Rp
Alfadiol,Alfacalcidolum 0.00025 mg,0.25 mcg,Kapsułki miękkie,Rp
Alfadiol,Alfacalcidolum 0.001 mg,1 mcg,Kapsułki miękkie,Rp
Alpicort E,Prednisolonum 2 mg/ml + Estradioli benzoas 0.05 mg/ml + Acidum salicylicum 4 mg/ml,(2 mg + 0.05 mg + 4 mg)/ml,Płyn na skórę,Rp
Alpicort,Prednisolonum 2 mg/ml + Acidum salicylicum 4 mg/ml,(2 mg + 4 mg)/ml,Płyn na skórę,Rp
Aroma-Activ,Camphorum 1 g + Mentholum 1 g + Juniperi aetheroleum 0.5 g + Pini sylvestris aetheroleum 0.5 g + Terebinthini aetheroleum ab  pinum pinastrum 0.5 g,-,Maść,OTC
Altacet,Aluminii acetotartras 1000 mg + Aluminii acetotartras 100 mg,1000 mg,Tabletki,OTC
Alugastrin,Dihydroxyaluminii natrii carbonas 340 mg,340 mg,Tabletki do rozgryzania i żucia,OTC
Alugastrin,Dihydroxyaluminii natrii carbonas 1.02 g/15 ml,1.02 g/15 ml,Zawiesina doustna,OTC
Androcur,Cyproteroni acetas 50 mg,50 mg,Tabletki,Rp
Ambroksol Orifarm,Ambroxoli hydrochloridum (roztwór) 0.9 mg/15 ml,30 mg/5 ml,Syrop,OTC
Ambrosol Teva,Ambroxoli hydrochloridum 15.0 mg/ 5 ml,15 mg/5 ml,Syrop,OTC
Amizepin,Carbamazepinum 200 mg,200 mg,Tabletki,Rp
Acatar Acti Form,Phenylephrini hydrochloridum 12.2 mg,12.2 mg,Kapsułki twarde,OTC
Amoksiklav,Amoxicillinum natricum 1000 mg + Acidum clavulanicum 200 mg,1000 mg + 200 mg,Proszek do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Amoksiklav,Amoxicillinum 500 mg + Kalii clavulanas 125 mg,500 mg + 125 mg,Tabletki powlekane,Rp
Amol,Mentholum 1.723 g + Caryophylli aetheroleum do 0.25 ml + Cinnamomi cortex 0.24 g + Limonis aetheroleum 0.57 g + Menthae piperitae aetheroleum 0.24 g + Lavandulae aetheroleum 0.24 g + Citronellae aetheroleum 0.15- 0.2 mg Al3+,-,Płyn doustny. płyn na skórę,OTC
Amotaks,Amoxicillinum 585 mg,500 mg,Kapsułki twarde,Rp
Amotaks,Amoxicillinum 1.165 g,1 g,Tabletki,Rp
Ampicillin TZF,Ampicillinum trihydricum 500 mg,500 mg,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Ampicillin TZF,Ampicillinum trihydricum 1000 mg,1 g,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Ampicillin TZF,Ampicillinum trihydricum 2000 mg,2 g,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Anafranil,Clomipramini hydrochloridum 10 mg,10 mg,Tabletki powlekane,Rp
Anafranil,Clomipramini hydrochloridum 25 mg,25 mg,Tabletki powlekane,Rp
Anafranil SR 75,Clomipramini hydrochloridum 75 mg,75 mg,Tabletki powlekane o przedłużonym uwalnianiu,Rp
Anapran,Naproxenum natricum 275 mg,275 mg,Tabletki powlekane,Rp
Anapran,Naproxenum natricum 550 mg,550 mg,Tabletki powlekane,Rp
Szczepionka tężcowa adsorbowana (T),Toksoid tężcowy nie mniej niż 40 j.m.,nie mniej niż 40 j.m. toksoidu tężcowego/0.5 ml; 1 dawka (0.5 ml),Zawiesina do wstrzykiwań,Rp
Rennie Antacidum,Magnesii subcarbonas 80 mg + Calcii carbonas 680 mg,680 mg + 80 mg,Tabletki do ssania,OTC
Anticol,Disulfiramum 500 mg,500 mg,Tabletki,Rp
Antidral,Aluminii chloridum 100 mg/1 g,100 mg/g,Płyn na skórę,OTC
Zibor,Bemiparinum natricum 25000 j.m. anty Xa/ml,25000 j.m. anty Xa/ml,Roztwór do wstrzykiwań w ampułko-strzykawce,Rp
Antypot,Acidum boricum 100 mg/g + Acidum salicylicum 10 mg/g,(100 mg + 10 mg)/g,Puder,OTC
Sulpiryd Teva,Sulpiridum 50 mg,50 mg,Kapsułki twarde,Rp
Apap,Paracetamolum 500 mg,500 mg,Tabletki powlekane,OTC
Aphtin Aflofarm,Borax 2 g (w 10 g),200 mg/g,Płyn do stosowania w jamie ustnej,OTC
Aphtin,Borax 200 mg/g,200 mg/g,Roztwór do stosowania w jamie ustnej,OTC
Aphtin,Sodu czteroboran 20 g,200 mg/g,Płyn do stosowania w jamie ustnej,OTC
Aphtin,Borax 200 mg/g,200 mg/g,Płyn do stosowania w jamie ustnej,OTC
Aphtin,Borax 20 g,200 mg/g,Roztwór do stosowania w jamie ustnej,OTC
Apitussic,Sulfogaiacolum 0.8 g,52 mg/5 ml,Syrop,OTC
Aqua pro injectione Polpharma,Aqua pro injectione,,Rozpuszczalnik do sporządzania leków parenteralnych,Rp
Arechin,Chloroquini phosphas 250 mg,250 mg,Tabletki,Rp
Argol Essenza Balsamica,Thymi aetheroleum 0.24 g + Cinnamoni zeylanici corticis aetheroleum 0.465 g + Menthae piperitae aetheroleum 0.375 g + Limonis aetheroleum 0.29 g + Mentholum 1.5 g + Myristicae aetheroleum 0.26 g + Melissae aetheroleum 0.34 g + Coriandri aetheroleum 0.24 g + Caryophylli aetheroleum 0.29 g,-,Płyn doustny. do sporządzania inhalacji parowej i na skórę,OTC
Argosulfan,Sulfathiazolum argentum 20 mg,20 mg/g,Krem,Rp
Aromatol,Levomentholum 1.72 g + Limonis aetheroleum 0.57 g + Cinnamoni zeylanici corticis aetheroleum 0.24 g + Menthae arvensis aetheroleum 0.24 g + Lavandulae aetheroleum 0.24 g + Citronellae aetheroleum 0.1 g + Caryophylli floris aetheroleum 0.1 g,-,Koncentrat do sporządzania roztworu do płukania jamy ustnej i gardła. roztwór doustny. do stosowania na skórę i do sporządzania inhalacji parowej,OTC
Artemisol,Absinthii herbae tinctura 96.8 g + Ethanolum zawartość etanolu: 60-65% + Acidum aceticum 3.2 g,,Płyn do stosowania na skórę,OTC
Ascofer,Ferrosi gluconas hydricus (co odpowiada 23.2 mg jonów żelaza (II)) 200 mg,(co odpowiada 23.2 mg jonów żelaza (II)) 200 mg,Tabletki powlekane,OTC
Asmag,Magnesii hydroaspartas 300 mg,20 mg,Tabletki,OTC
Asmag forte,Magnesii hydroaspartas 500 mg,34 mg,Tabletki,OTC
Aspargin,Magnesii hydrogenoaspartas 250 mg + Kalii hydrogenoaspartas 250 mg,250 mg + 250 mg (17 mg Mg 2+ + 54 mg K+),Tabletki,OTC
Texibax,Esomeprazolum (esomeprazol magnezowy. amorficzny) 20.7 mg,20 mg,Tabletki dojelitowe,Rp
Aspimag,Acidum acetylsalicylicum 150 mg + Magnesii oxidum 21 mg,150 mg + 21 mg,Tabletki,OTC
Aspirin,Acidum acetylsalicylicum 500 mg,500 mg,Tabletki,OTC
Aspirin C,Acidum acetylsalicylicum 400 mg + Acidum ascorbicum 240 mg,400 mg + 240 mg,Tabletki musujące,OTC
Aspirin Cardio,Acidum acetylsalicylicum 100 mg,100 mg,Tabletki dojelitowe,OTC
Glucosum 20% Fresenius,Glucosum 220 g,200 mg/ml,Roztwór do infuzji,Rp
Atarax,Hydroxyzini hydrochloridum 10 mg,10 mg,Tabletki powlekane,Rp
Atarax,Hydroxyzini hydrochloridum 25 mg,25 mg,Tabletki powlekane,Rp
Atecortin,Oxytetracyclini hydrochloridum 5 mg/ml + Polymyxini B sulfas 10000 jm.m/ml + Hydrocortisoni acetas 15 mg,(5 mg + 10 000 j.m. + 15 mg)/ml,Krople do oczu i uszu. zawiesina,Rp
Atenolol Sanofi 25,Atenololum 25 mg,25 mg,Tabletki,Rp
Atropinum sulfuricum WZF 1%,Atropini sulfas 10 mg,10 mg/ml,Krople do oczu. roztwór,Rp
Atrovent,Ipratropii bromidum 0.025 g,0.25 mg/ml,Roztwór do nebulizacji,Rp
Augmentin,Amoxicillinum 250 mg + Acidum clavulanicum 125 mg,250 mg + 125 mg,Tabletki powlekane,Rp
Augmentin,Amoxicillinum trihydricum 500 mg + Acidum clavulanicum 125 mg,500 mg + 125 mg,Tabletki powlekane,Rp
Aurorix,Moclobemidum 150 mg,150 mg,Tabletki powlekane,Rp
Aviomarin,Dimenhydrinatum 50 mg,50 mg,Tabletki,OTC
Neoazarina,Thymi herba pulveratum 316 mg + Codeini phosphas 10 mg,316 mg + 10 mg,Tabletki powlekane,OTC
Azucalen,Calendulae extractum 0.5 ml/ml + Chamomillae extractum 0.5 ml/ml,(470 mg + 470 mg)/ml,Płyn na skórę,OTC
Azulan,Chamomillae extractum 100 g,-,Koncentrat do sporządzania roztworu doustnego. do stosowania w jamie ustnej. na skórę,OTC
Azulan,Matricariae flos 100 g/100 g,-,Płyn doustny. płyn do stosowania w jamie ustnej. płyn na skórę,OTC
Baclofen Polpharma,Baclofenum 25 mg,25 mg,Tabletki,Rp
Bactrim,Sulfamethoxazolum 200 mg/5 ml + Trimethoprimum 40 mg/5 ml,(200 mg + 40 mg)/5 ml,Syrop,Rp
Bactrim,Sulfamethoxazolum 400 mg + Trimethoprimum 80 mg,400 mg + 80 mg,Tabletki,Rp
Bactrim Forte,Sulfamethoxazolum 800 mg + Trimethoprimum 160 mg,800 mg + 160 mg,Tabletki,Rp
Bactroban,Mupirocinum 2.2 %,20 mg/g,Maść,Rp
Bactroban,Mupirocinum 2 %,20 mg/g,Maść do nosa,Rp
Bals Sulphur żel,Woda chlorkowo-sodowa (solanka). siarczkowa. fluorkowa. jodkowa 96.50 g/100 g,-,Żel,OTC
Balsolan,Balsamum peruvianum 10 g,100 mg/g,Maść,OTC
Debridat,Trimebutinum 0.787 g,7.87 mg/g,Granulat do sporządzania zawiesiny doustnej,Rp
Bellapan,Zespół alkaloidów tropanowych w przeliczeniu na siarczan atropiny 0.00025 g,0.25 mg/tabl.,Tabletki,Rp
Bellergot,Ergotamini tartras 0.3 mg + Atropinum 0.1 mg + Phenobarbitalum 20 mg,0.3 mg + 0.1 mg + 20 mg,Tabletki drażowane,Rp
Bengay Maść Przeciwbólowa,Methylis salicylas 150 mg/g + Mentholum 100 mg/g,(150 mg + 100 mg)/g,Maść,OTC
Benalapril 5,Enalaprili maleas 5 mg,5 mg,Tabletki,Rp
Benzacne,Benzoylis peroxidum 10 g,100 mg/g,Żel,OTC
Benzacne,Benzoylis peroxidum 5 g,50 mg/g,Żel,OTC
Rivaldo,Rivastigminum 1.5 mg,1.5 mg,Kapsułki twarde,Rp
Bepanthen Plus,Dexpanthenolum 50 mg/g + Chlorhexidini dihydrochloridum 5 mg/g,(50 mg + 5 mg)/g,Krem,OTC
Berodual,Fenoteroli hydrobromidum 0.5 mg/ml + Ipratropii bromidum 0.25 mg/ml,(0.5 mg + 0.25 mg)/ml,Roztwór do nebulizacji,Rp
Berotec N 100,Fenoteroli hydrobromidum 100 mcg,100 mcg/dawkę inh.,Aerozol inhalacyjny. roztwór,Rp
Beta-Karoten Amara,Betacarotenum (E 160) 10 mg,10 mg,Tabletki,OTC
Betadine VAG,Polyvidonum iodinatum 0.2 g,200 mg,Globulki,OTC
Betadine,Povidonum iodinatum 2 g,100 mg/g,Maść,OTC
Betadine,Powidon jodowany 10 g,100 mg/ml,Roztwór na skórę,OTC
Betadrin WZF,Diphenhydramini hydrochloridum 1 mg/ml + Naphazolini nitras 0.33 mg/ml,(1 mg + 0.33 mg)/ml,Krople do nosa. roztwór,OTC
Betadrin,Diphenhydramini hydrochloridum 1 mg/ml + Naphazolini nitras 0.33 mg/ml,(1 mg + 0.33 mg)/ml,Krople do oczu. roztwór,Rp
Betaloc,Metoprololi tartras 1 mg,1 mg/ml,Roztwór do wstrzykiwań,Rp
Betoptic 0.5%,Betaxololi hydrochloridum 5.6 mg/ml,5 mg/ml,Krople do oczu. roztwór,Rp
Betoptic S,Betaxololi hydrochloridum 2.8 mg,2.5 mg/ml,Krople do oczu. zawiesina,Rp
Bilobil,Ginkgonis extractum siccum raffinatum et quantificatum (DER pierwotny 35-67:1). co odpowiada:8.8 - 10.8 mg flawonoidów w przeliczeniu na glikozydy flawonowe;1.12 - 1.36 mg ginkgolidów A. B. C; 1.04 - 1.28 mg bilobalidu.Ekstrahent:aceton 60% (m/m).,40 mg,Kapsułki,OTC
Bioaron SYSTEM,Aloes arborescentis recentis extractum fluidum 38.4 g + Acidum ascorbicum 1.02 g,(1920 mg + 51 mg)/5 ml,Syrop,OTC
Isoptin 40,Verapamili hydrochloridum 40 mg,40 mg,Tabletki powlekane,Rp
Biofuroksym,Cefuroximum natricum 1500 mg,1.5 g,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Bioracef,Cefuroximum axetilum 125 mg,125 mg,Tabletki powlekane,Rp
Bioracef,Cefuroximum axetilum 250 mg,250 mg,Tabletki powlekane,Rp
Bioracef,Cefuroximum axetilum 601.44 mg,500 mg,Tabletki powlekane,Rp
Biosotal 40,Sotaloli hydrochloridum 40 mg,40 mg,Tabletki,Rp
Biosotal 80,Sotaloli hydrochloridum 80 mg,80 mg,Tabletki,Rp
Biostymina,Aloe arborescens extractum (1:4) 100 ml/100 ml,-,Płyn doustny,OTC
Biotrakson,Ceftriaxonum natricum 1000 mg,1 g,Proszek do sporządzania roztworu do wstrzykiwań lub infuzji,Rp
Bioxetin,Fluoxetinum 20 mg,20 mg,Tabletki,Rp
Bisacodyl VP,Bisacodylum 5 mg,5 mg,Tabletki dojelitowe,OTC
Biseptol,Sulfamethoxazolum 200 mg/5 ml + Trimethoprimum 40 mg/5 ml,(200 mg + 40 mg)/5 ml,Zawiesina doustna,Rp
Biseptol 120,Sulfamethoxazolum 100 mg + Trimethoprimum 20 mg,100 mg + 20 mg,Tabletki,Rp
Biseptol 480,Sulfamethoxazolum 400 mg + Trimethoprimum 80 mg,400 mg + 80 mg,Tabletki,Rp
Biseptol 960,Sulfamethoxazolum 800 mg + Trimethoprimum 160 mg,800 mg + 160 mg,Tabletki,Rp
Sulpiryd Teva,Sulpiridum 100 mg,100 mg,Kapsułki twarde,Rp
Staveran 120,Verapamili hydrochloridum 120 mg,120 mg,Tabletki powlekane,Rp
Braunovidon,Polyvidonum iodinatum 10.00 g/100 g,100 mg/g,Maść,OTC
Prattack,Pranoprofenum 1 mg/ml,1 mg/ml,Krople do oczu. roztwór,Rp
Brodacid,Acidum lacticum 50.4 mg/g + Acidum salicylicum 100 mg/g,(50.4 mg + 100 mg)/g,Płyn na skórę,OTC
Bromergon,Bromocriptini mesylas 2.5 mg,2.5 mg,Tabletki,Rp
Broncho-Vaxom,Szczepionka wieloważna 3.5 mg + Galusan propylu (E310) 42 mcg + sodu glutaminian 1.515 mg + Mannitol do 20 mg,3.5 mg,Kapsułki twarde,Rp
Riluzol PMCS,Riluzolum 50 mg,50 mg,Tabletki powlekane,Rp
Bunondol,Buprenorphini hydrochloridum 324 mcg (buprenorfina 300 mcg),0.3 mg/ml,Roztwór do wstrzykiwań,Rp
Bunondol,Buprenorphini hydrochloridum 0.2 mg,0.2 mg,Tabletki podjęzykowe,Rp
Bunondol,Buprenorphini hydrochloridum 0.4 mg,0.4 mg,Tabletki podjęzykowe,Rp
Bupivacainum hydrochloricum WZF 0.5%,Bupivacaini hydrochloridum 5 mg,5 mg/ml,Roztwór do wstrzykiwań,Rp
Buscolysin,Hyoscini butylbromidum 0.02 g,20 mg/ml,Roztwór do wstrzykiwań,Rp
Buscopan,Hyoscini butylbromidum 10 mg,10 mg,Tabletki powlekane,OTC
Butapirazol,Phenylbutazonum 250 mg,250 mg,Czopki,Rp
Butapirazol,Phenylbutazonum 5 g,50 mg/g,Maść,Rp
Calcium Polfarmex,Calcii glubionas 29.4 mg/100 ml + Calcii lactobionas 6.4 mg/100 ml,115 mg Ca 2+/5 ml,Syrop,OTC
Calcium Aflofarm (o smaku bananowym),Calcii gluconas 89.5 mg/tabletkę + Calcii lactobionas 75.0 mg/tabletkę,116 mg Ca 2+/5 ml,Syrop,OTC
Sanosvit Calcium,Calcii glubionas 3.1 mg/tabletkę + Calcii lactobionas 22.5 mg/tabletkę,114 mg Ca2+/5 ml,Syrop,OTC
Calcium dobesilate Galena,Calcii dobesilas 250 mg,250 mg,Tabletki,Rp
Calcium gluconicum Farmapol,Calcii gluconas 500 mg,45 mg Ca2+,Tabletki,OTC
Calcium pantothenicum Jelfa,Calcii pantothenas 100 mg,100 mg,Tabletki,OTC
Calcium Hasco,Calcii glubionas 29.4 g + Calcii lactobionas 6.4 g,115.6 mg Ca 2+/5 ml,Syrop,OTC
Calcium-Sandoz Forte,Calcii lactoglubionas 1132 mg + Calcii carbonas praecipitatus 875 mg,500 mg Ca2+,Tabletki musujące,OTC
Calcium Sandoz + Vitamin C,Calcii glubionas 1000 mg + Calcii carbonas praecipitatus 327 mg + Acidum ascorbicum 1000 mg,260 mg Ca2+ + 1000 mg,Tabletki musujące,OTC
Calciumfolinat-Ebewe,Calcii folinas 19.06 mg,15 mg,Kapsułki twarde,Rp
Nagietek fix,Calendulae anthodium 100 g/ 100 g,-,Zioła do zaparzania w saszetkach,OTC
Cezarius,Levetiracetamum 250 mg,250 mg,Tabletki powlekane,Rp
Capsigel N,Nonivamidum 0.05 g + Acidum salicylicum 1.9 g + Camphorum 5 g + Terebinthini aetheroleum ab  pinum pinastrum 5 g + Eucalypti aetheroleum 2 g,-,Emulsja na skórę,OTC
Carbo Medicinalis VP,Carbo activatus 300 mg,300 mg,Tabletki,OTC
Cardiobonisol,Ginkgo bilobae folii tinctura 40 g + Crataegi inflorescentiae tinctura 35 g + Cynarae folii tinctura 25 g,-,Płyn doustny,OTC
Cardiol C,Convallariae tinctura 27 g + Crataegi cum Valerianae tinctura (1 : 4.0-4.5) ekstrahent etanol 70% (v/v) 40 g + Colae extractum fluidum 14 g + Coffeinum 0.072 g,-,Krople doustne. roztwór,OTC
Cardioxane,Dexrazoxanum 500 mg,500 mg,Proszek do sporządzania roztworu do infuzji,Rp
Cardura,Doxazosini mesilas 1.213 mg,1 mg,Tabletki,Rp
Cardura,Doxazosinum 2.43 mg,2 mg,Tabletki,Rp
Cardura,Doxazosini mesilas 4 mg,4 mg,Tabletki,Rp
Cataflam 50,Diclofenacum kalicum 50 mg,50 mg,Tabletki powlekane,Rp
